city,latitude,longitude,weather,temperature,humidity,pressure,wind_speed
bluff,-46.59882,168.3433685,Clear,58.93,57,1027,12.62
arraial do cabo,-22.9662839,-42.024427,Rain,69.78,88,1014,4.61
akyab,20.15,92.9,Clouds,71.82,77,1014,7.0
provideniya,64.4237364,-173.2273726,Snow,27.0,68,1002,7.0
kerki,37.8407881,65.2063911,Clear,42.84,53,1027,6.15
oga,43.4788449,-0.3834013,Fog,48.34,93,1023,3.44
tessalit,20.2019542,1.0124531,Clear,71.64,15,1014,9.62
lorengau,-2.0329567,147.2789185,Clouds,86.11,64,1010,3.47
whitecourt,54.1424574,-115.6846504,Clear,6.03,72,1019,8.05
barrow,71.2905556,-156.788611,Clouds,24.82,86,997,10.36
tiksi,71.636604,128.868546,Clouds,-13.79,98,1010,7.78
tuktoyaktuk,69.4440189,-133.031904,Clouds,12.2,92,1009,8.05
antalaha,-14.9012302,50.2810433,Clouds,71.96,76,1014,4.14
iqaluit,63.74944,-68.521857,Snow,10.35,79,1013,8.05
lexington,38.0464066,-84.4970393,Clouds,61.18,38,1021,8.81
lata,18.3983393,76.562087,Clear,61.56,69,1015,7.23
nador,35.1739922,-2.9281198,Clear,70.05,60,1021,8.05
faanui,-16.48243875,-151.73383197031578,Rain,78.44,76,1014,14.88
amderma,69.7522076,61.662267280204404,Clouds,16.66,69,1017,5.97
selenginsk,52.0055121,106.8636527,Clouds,18.01,86,1028,2.82
east london,-33.0191604,27.8998573,Rain,65.35,74,1019,11.65
lethem,3.3749987,-59.7958674,Clouds,78.93,79,1011,2.57
port lincoln,-34.7211905,135.8592218,Clouds,63.43,75,1010,12.91
pinhao,-25.6960895,-51.6566366,Clouds,54.93,68,1016,0.76
avarua,-21.2074736,-159.7708145,Clouds,78.78,73,1017,16.11
fayetteville,36.0625843,-94.1574328,Clear,74.3,68,1019,8.05
kodiak,57.79,-152.4072222,Rain,36.91,87,997,17.27
huarmey,-10.0687481,-78.152199,Clouds,64.22,85,1016,7.43
kumluca,36.3657472,30.2875296,Clear,64.15,54,1017,6.76
cidreira,-30.1657063,-50.218331,Clear,62.92,88,1017,5.77
belyy yar,53.596436,91.382362,Clear,22.82,86,1031,2.24
flinders,-20.862898,144.2526073309786,Rain,80.94,50,1014,12.71
cururupu,-1.824255,-44.872996,Clouds,72.91,92,1012,3.53
manaus,-3.1316333,-59.9825041,Clouds,86.45,62,1008,2.3
saltangara,62.1169179,-6.7188176,Clouds,49.24,90,982,28.14
butaritari,2.9205375,172.91886331442205,Clouds,81.39,74,1010,20.38
kytlym,59.4994142,59.2008634,Clouds,30.76,99,1016,2.55
sakaiminato,35.5391751,133.2318575,Clouds,50.02,93,1024,6.91
yerbogachen,61.275021,108.009712,Snow,19.81,92,1015,12.55
jamestown,-15.9277296,-5.7160872,Clouds,66.99,72,1018,13.27
norman wells,65.282401,-126.832725,Clouds,15.84,79,1014,4.61
solnechnyy,50.723808,136.64006,Clouds,25.36,44,1017,9.17
alofi,-19.0534159,-169.919199,Clouds,82.9,65,1015,13.8
carnarvon,-24.8826131,113.6576486,Clouds,68.11,57,1013,11.54
petropavl,54.8668104,69.1334984,Clouds,26.33,94,1022,12.5
tiznit,29.698624,-9.7312815,Clear,64.04,62,1018,5.03
cayenne,4.9371143,-52.3258307,Clouds,77.02,94,1012,2.3
esperance,-33.858228,121.8931606,Clouds,65.1,65,1010,9.55
rio gallegos,-51.64607595,-69.26322885452636,Clouds,53.67,32,1007,19.57
vaitupu,-7.4769458,178.6807836433052,Clouds,82.74,69,1010,16.06
vao,58.93963145,25.97080937451389,Clouds,48.06,93,1007,9.55
lagoa,37.13258125,-8.45505094811731,Clouds,60.67,84,1022,8.99
edd,13.930794,41.690461,Clear,83.17,57,1009,16.62
vila franca do campo,37.7171624,-25.4335352,Clouds,68.2,91,1016,18.77
bengkulu,-3.7922858,102.2623797,Clouds,75.76,89,1011,3.51
south valley,35.0246399,-106.6771244,Clouds,68.58,21,1011,26.46
karratha,-20.7370067,116.8478592,Clear,73.56,44,1011,17.85
isangel,-19.5410863,169.2810885,Clouds,83.43,74,1006,5.75
sobolevo,55.5204405,38.7062515,Clouds,47.95,93,1019,9.62
taoudenni,22.6762333,-3.9805269,Clouds,73.92,11,1014,12.35
port augusta,-32.4908819,137.7639874,Clouds,75.09,47,1010,2.82
saint george,12.0535331,-61.751805,Clouds,79.68,89,1010,5.75
mujiayingzi,41.9698397,118.9709585,Clouds,38.89,51,1026,4.59
monterey,36.600256,-121.8946388,Clouds,56.73,70,1021,6.91
teya,41.4970697,2.3214331,Rain,61.32,86,1020,5.01
port blair,11.6645348,92.7390448,Mist,80.02,83,1010,3.44
bathsheba,13.2129361,-59.5227245,Clouds,79.2,89,1010,8.05
dingle,11.0000758,122.6717839,Clouds,80.35,85,1011,8.19
farafangana,-22.8215796,47.8306554,Clouds,71.17,88,1015,7.65
vanimo,-2.6847646,141.3009131,Clouds,84.6,74,1010,2.28
yulara,-25.2410108,130.9869405,Clouds,85.03,20,1010,11.61
mehamn,71.0389923,27.8517589,Clouds,35.55,93,1007,4.61
barawe,1.4923441,44.1066308,Clouds,74.88,92,1011,4.7
